create TABLE valid_gps_test as select * from gps where ostdesc not like '%定位无效%';
CREATE INDEX suid_idx ON valid_gps_test (suid);
ALTER TABLE valid_gps_test add column stop integer;
get_suids finished!
get_suids finished!
802/27297	31887: label_stop finished!
803/27297	11916: label_stop finished!
804/27297	9899: label_stop finished!
805/27297	16545: label_stop finished!
806/27297	6405: label_stop finished!
807/27297	7581: label_stop finished!
808/27297	20195: label_stop finished!
809/27297	22745: label_stop finished!
810/27297	16074: label_stop finished!
811/27297	23859: label_stop finished!
812/27297	11058: label_stop finished!
813/27297	31783: label_stop finished!
814/27297	37110: label_stop finished!
815/27297	28016: label_stop finished!
816/27297	13880: label_stop finished!
817/27297	17769: label_stop finished!
818/27297	14106: label_stop finished!
819/27297	29598: label_stop finished!
820/27297	33275: label_stop finished!
821/27297	9414: label_stop finished!
822/27297	10832: label_stop finished!
823/27297	3238: label_stop finished!
824/27297	1027: label_stop finished!
825/27297	13181: label_stop finished!
826/27297	30064: label_stop finished!
827/27297	25477: label_stop finished!
828/27297	1030: label_stop finished!
829/27297	7648: label_stop finished!
830/27297	16357: label_stop finished!
831/27297	29282: label_stop finished!
832/27297	10525: label_stop finished!
833/27297	31056: label_stop finished!
834/27297	7403: label_stop finished!
835/27297	12758: label_stop finished!
836/27297	22274: label_stop finished!
837/27297	20469: label_stop finished!
838/27297	2923: label_stop finished!
839/27297	31975: label_stop finished!
840/27297	22670: label_stop finished!
841/27297	17382: label_stop finished!
842/27297	34959: label_stop finished!
843/27297	17347: label_stop finished!
844/27297	28971: label_stop finished!
845/27297	19682: label_stop finished!
846/27297	13376: label_stop finished!
847/27297	35652: label_stop finished!
848/27297	25029: label_stop finished!
849/27297	18197: label_stop finished!
